Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2021-05-24,393.72686767578125,394.8070582433423,391.7637030867097,392.00793055362107,51376700
2021-05-25,392.85321044921875,395.17328488500607,392.27084846103713,394.8163459463942,57451400
2021-05-26,393.63287353515625,394.1400754318187,392.40239152904513,393.44500187070923,43088600
2021-05-27,393.83953857421875,395.1827321731997,393.55773106490165,394.666128070574,56707700
2021-05-28,394.54400634765625,395.6805525494972,394.3091810939177,395.41754941191766,58520200
2021-06-01,394.196533203125,397.06139029520114,393.75506050821133,396.9205008532493,54216600
2021-06-02,394.8163757324219,395.6617695624663,393.83952333379665,394.8539557985818,49097100
2021-06-03,393.3511047363281,394.4970532057338,391.01225420938147,392.4869637913171,58138800
2021-06-04,396.9486083984375,397.249191598133,393.4168274649943,395.21089581511285,55938800
2021-06-07,396.5635681152344,397.117752372502,395.6242669337236,396.9392828547992,51555000
2021-06-08,396.6481018066406,397.5216450258531,394.80707951701925,397.4277091746567,47134300
2021-06-09,396.0563049316406,397.56859461560464,395.8308818394501,397.49343447474456,48436300
2021-06-10,397.89727783203125,398.8553831856693,395.9623200896522,397.2867379227703,51020100
2021-06-11,398.5548095703125,398.6675211051696,397.1552602371839,398.4515002184242,45570800
2021-06-14,399.44720458984375,399.55051395404115,397.4183107251022,398.6675686055371,42358500
2021-06-15,398.7145690917969,399.63506588835537,397.8316237029206,399.59751448067317,51508500
2021-06-16,396.48834228515625,399.08082228951355,394.4312994104029,398.85539921615816,80386100
2021-06-17,396.3569030761719,397.3431578068043,393.86776078894104,396.0751242003329,90949700
2021-06-18,391.0098876953125,393.75217111287947,390.8025642358117,393.0548234577296,118676300
2021-06-21,396.6075439453125,396.79603026606236,391.9616466044744,392.78150745768414,72822000
2021-06-22,398.7279357910156,399.5666626371816,395.87254310224586,396.59818964532843,57700300
2021-06-23,398.2472229003906,399.61364782405633,398.1624126989744,398.8032200600991,49445400
2021-06-24,400.6032409667969,401.02729206202724,400.1508910395755,400.40535045568936,45110300
2021-06-25,402.0262145996094,402.4785645361461,401.02730032052824,401.35713701848357,58129500
2021-06-28,402.83660888671875,403.00622930202064,401.3476706430046,402.5539081945489,53159600
2021-06-29,403.0533752441406,403.86380308775733,402.51621515673565,403.22299566364563,35970500
2021-06-30,403.3926696777344,404.07118020487354,402.5633758380114,402.59164591168485,64827900
2021-07-01,405.62603759765625,405.78625383305746,404.0899633622855,404.15593644503736,53441000
2021-07-02,408.7264709472656,409.0845776849248,405.7108625070579,406.7946156633339,57697700
2021-07-06,407.98199462890625,408.99977471807125,405.2302784805173,408.78301833118127,68710400
2021-07-07,409.42388916015625,409.7066186771182,406.6439025100575,408.67000129954806,63549500
2021-07-08,406.08782958984375,406.85115025329117,402.8837348812311,404.07113536169277,97595200
2021-07-09,410.42266845703125,410.7242350056278,405.88985232213764,407.60497971344034,76238600
2021-07-12,411.8928527832031,412.1473121921227,409.9044572663973,410.33794129336883,52889600
2021-07-13,410.48870849609375,412.6090501060507,410.2248449127692,411.10124587606435,52911300
2021-07-14,411.1012268066406,412.6844369921227,409.8478820337302,412.19438410369895,64130400
2021-07-15,409.6971435546875,410.4321942087509,407.7841252653317,409.7536837004635,55126400
2021-07-16,406.483642578125,410.93164949947175,406.0878615594616,410.8845422978607,75874700
2021-07-19,400.480712890625,406.5496042508232,397.6535906579479,401.63041041560604,147987000
2021-07-20,406.21978759765625,407.50143136098563,400.3487864518047,401.14981020901354,99608200
2021-07-21,409.5086364746094,409.6500155908594,406.17265300699904,407.4259978534785,64724400
2021-07-22,410.3662414550781,410.6112679382336,408.6982495540765,409.6877309131665,47878500
2021-07-23,414.5880432128906,414.92728406769214,411.61957069748223,412.3074853504877,63766600
2021-07-26,415.60577392578125,415.61520686871586,413.9472152307123,413.9943224274407,43719200
2021-07-27,413.71160888671875,414.58800978326263,410.8656210701545,414.5597397143087,67397100
2021-07-28,413.5419921875,414.9272831929667,412.1095939830681,414.3430158827244,52472400
2021-07-29,415.2571105957031,416.34083497848155,414.4655198615265,414.47495280469855,47435300
2021-07-30,413.24041748046875,414.7010856257601,412.54304118877417,412.674987348463,68951200
2021-08-02,412.3734436035156,415.5209693765124,412.0153368747902,414.9649721562708,58783300
2021-08-03,415.7283020019531,415.85081522859116,410.9693246034538,413.1744764060181,58053900
2021-08-04,413.6833801269531,415.7000456846464,413.44778660915404,414.43726788032035,46732200
2021-08-05,416.3031921386719,416.3880023567007,414.53152422702374,414.85192797034676,38969700
2021-08-06,416.9910583496094,417.4151381494277,416.340817994673,416.6235474475425,46930000
2021-08-09,416.65185546875,417.2832299956223,415.87910182307905,416.96282626036293,41222600
2021-08-10,417.17010498046875,417.8863184054206,416.4162173029195,417.10413189996603,43339300
2021-08-11,418.206787109375,418.30103027346,417.11362967573604,418.2444901268042,44034300
2021-08-12,419.4600830078125,419.60146211690204,417.15128393197523,418.05595493169636,38909400
2021-08-13,420.22344970703125,420.2422868348311,419.42242601144585,419.9124501650049,39470300
2021-08-16,421.21295166015625,421.3448690791862,417.3492121072332,418.9135565607182,73740000
2021-08-17,418.4518737792969,419.31884199205166,415.4456975940896,418.6403313756009,92673900
2021-08-18,413.871826171875,419.00777622060184,413.6268284762824,417.433998911538,89351900
2021-08-19,414.5126037597656,415.7188700590571,410.98813428830914,411.1294846330788,92812200
2021-08-20,417.81097412109375,418.1408108133749,414.3713143506773,414.86136729657244,72008700
2021-08-23,421.4862365722656,422.4003405723056,417.88636071569806,419.50724526961505,54973000
2021-08-24,422.15533447265625,422.69249462166556,421.63704021173714,422.15533447265625,38744700
2021-08-25,423.0411682128906,423.559462473527,421.9668479154579,422.3438205693488,40529700
2021-08-26,420.5438537597656,422.9940032884355,420.4496106027459,422.75840977537314,57829600
2021-08-27,424.3039245605469,424.6808684363461,421.2977489797664,421.3542891231876,77235100
2021-08-30,426.1698303222656,426.9614210793881,424.7374033493045,424.98242980709495,48357400
2021-08-31,425.5384216308594,426.41482259090867,424.9353171964827,426.07558173887935,59300200
2021-09-01,425.76458740234375,426.9990951161605,425.52899388811954,426.4808008884569,48721400
2021-09-02,427.0744934082031,427.8849212781439,425.86825578758834,427.1970066348159,42501000
2021-09-03,426.9708251953125,427.4891481821727,425.52899403811125,425.93423673953987,47170500
